field_key,component_name,lv2_scope,requiredness,source_file
expectedCompletionRate,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
expectedTimeOnTask,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
extractabilityTier,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
extraPracticeNotes,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
forbiddenPatterns,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
grammarFocus,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
groupId,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
groupName,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
ingestPayload,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
ingestSource,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
instructions,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
isRequiredToPass,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
keywords,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
l1InterferenceNotes,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
lastUpdatedAt,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
lastUpdatedBy,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
learningObjectives,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
lessonId,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
levelMax,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
levelMin,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
linkedResources,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
manualOverrideJson,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
masteryRule,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
masteryThreshold,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
maxAttempts,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
maxScoreValue,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
metadata,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
minAttemptsBeforeSkip,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
moduleId,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
note,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
notesForTeacherOrAI,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
orderIndex,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
ownerTeam,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
passingScoreType,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
passingScoreValue,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
passRequiredForNext,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
prerequisiteEdges,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
prerequisiteModules,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
prerequisiteNodes,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
prerequisites,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
prerequisiteSlices,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
priorLessons,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
pronunciationFocus,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
propsJson,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
registerTone,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
registerVariants,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
remediationGuidance,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
remediationPaths,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
requiredScore,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
retryPolicy,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
runtimeContractV1,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
shortSummaryTeacherActivity,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
shortSummaryTeacherSlide,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
signatureMetaphors,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
